fecha,producto,tipo_producto,marca,categoria,cantidad,precio_unitario,precio_total,metodo_pago,comprobante
2024-01-02,grava,,Ladrillera Virú,material_construccion,3.0,36.86,110.58,yape,boleta
2024-01-02,tuercas_arandelas,hexagonal,Fijesa,fijacion,46.0,0.85,39.1,tarjeta,boleta
2024-01-02,ladrillo,Pandereta,Cerámica Lark,material_construccion,2641.0,2.08,5493.28,efectivo,factura
2024-01-02,fierro_corrugado,1/2,Aceros Arequipa,material_construccion,10.0,35.97,359.7,efectivo,
2024-01-02,cintillos,plastico 200mm,Truper,fijacion,37.0,0.29,10.73,tarjeta,factura
2024-01-02,ladrillo,King Kong,Ladrillera Virú,material_construccion,2036.0,2.42,4927.12,tarjeta,boleta
2024-01-02,escalera,aluminio 3m,Bailey,accesorios,2.0,143.7,287.4,efectivo,factura
2024-01-02,brocha,rodillo,Truper,pinturas,1.0,11.27,11.27,efectivo,boleta
2024-01-02,pintura,,Zinsser,pinturas,2.0,81.39,162.78,efectivo,boleta
2024-01-02,rodillo,grande,Pintuco,pinturas,1.0,41.43,41.43,plin,boleta
2024-01-02,tuercas_arandelas,hexagonal,Fijesa,fijacion,34.0,0.81,27.54,,boleta
2024-01-02,tuercas_arandelas,hexagonal,Fixser,fijacion,36.0,0.7,25.2,efectivo,boleta
2024-01-02,pintura,latex 1gl,CPP,pinturas,2.0,199.76,399.52,tarjeta,boleta
2024-01-02,cemento,saco 42.5kg,Unacem,material_construccion,12.0,30.64,367.68,yape,boleta
2024-01-02,valvula,de paso 3/4,Tigre,gasfiteria,3.0,102.51,307.53,plin,factura
2024-01-02,fierro_corrugado,5/8,,material_construccion,12.0,31.59,379.08,plin,boleta
2024-01-02,manguera,jardin 1/2,Vainsa,accesorios,3.0,51.19,153.57,,factura
2024-01-02,adhesivo,contacto 1L,Pegatodo,material_construccion,2.0,236.29,472.58,efectivo,boleta
,tuberia_pvc,1,Tigre,gasfiteria,2.0,30.49,60.98,plin,boleta
2024-01-02,sellador_silicon,300ml,Sika,accesorios,2.0,32.14,64.28,efectivo,
2024-01-02,rodillo,mini,Pintuco,pinturas,1.0,38.62,38.62,plin,factura
2024-01-02,ladrillo,Techo,Cerámica Lark,material_construccion,1590.0,3.27,5199.3,tarjeta,factura
2024-01-02,destornillador,plano 6mm,Stanley,herramientas,1.0,53.08,53.08,efectivo,factura
2024-01-02,arena,fina,Ladrillera Virú,material_construccion,1.0,67.87,67.87,efectivo,factura
2024-01-03,,esferica 1/2,Tigre,gasfiteria,1.0,37.55,37.55,efectivo,factura
2024-01-03,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,11.0,23.9,262.9,transferencia,boleta
2024-01-03,tuercas_arandelas,mariposa,Fixser,fijacion,36.0,0.5,18.0,plin,boleta
2024-01-03,ladrillo,King Kong,,material_construccion,2801.0,0.82,2296.82,yape,boleta
2024-01-03,grava,zarandeada,Ladrillera Virú,material_construccion,1.0,60.16,60.16,plin,boleta
2024-01-03,grava,zarandeada,Ladrillera Virú,material_construccion,1.0,57.83,,efectivo,boleta
2024-01-03,cinta_teflon,blanco,Tigre,gasfiteria,,0.72,3.6,efectivo,factura
2024-01-03,grava,zarandeada,Ladrillera Virú,material_construccion,2.0,69.84,139.68,yape,boleta
2024-01-03,fierro_corrugado,1/2,Aceros Arequipa,material_construccion,22.0,32.74,720.28,efectivo,boleta
2024-01-03,arena,gruesa,Ladrillera Virú,material_construccion,2.0,55.52,111.04,efectivo,factura
2024-01-03,calamina,galv 0.3mm,Covema,material_construccion,5.0,52.51,,plin,boleta
2024-01-03,ladrillo,Techo,Ladrillera Virú,material_construccion,2511.0,0.81,2033.91,tarjeta,boleta
2024-01-03,caja_placa,,,electricidad,2.0,95.76,191.52,plin,boleta
,arena,gruesa,Ladrillera Virú,material_construccion,1.0,69.51,69.51,tarjeta,boleta
2024-01-03,ladrillo,King Kong,Ladrillera Virú,material_construccion,683.0,2.66,1816.78,efectivo,boleta
2024-01-03,wincha,5m,Stanley,herramientas,error,24.32,48.64,yape,boleta
,ladrillo,King Kong,Cerámica Lark,material_construccion,2612.0,1.96,5119.52,efectivo,boleta
2024-01-03,cemento,saco 50kg,Unacem,material_construccion,10.0,34.93,349.3,yape,boleta
2024-01-03,cortadora_ladrillo,electrica,Makita,herramientas,1.0,861.15,861.15,efectivo,boleta
2024-01-03,caja_placa,plastica,BTicino,electricidad,1.0,38.39,38.39,yape,boleta
2024-01-03,,spray,3M,pinturas,1.0,121.12,121.12,efectivo,boleta
2024-01-03,grava,zarandeada,Ladrillera Virú,material_construccion,1.0,82.27,82.27,yape,boleta
2024-01-03,cemento,saco 42.5kg,,material_construccion,11.0,29.5,324.5,tarjeta,boleta
2024-01-03,ladrillo,Techo,Ladrillera Virú,material_construccion,2510.0,1.95,4894.5,plin,boleta
2024-01-03,calamina,galv 0.5mm,Prodac,material_construccion,3.0,s/c,322.65,efectivo,boleta
2024-01-04,cemento,saco 50kg,,material_construccion,10.0,34.26,342.6,efectivo,boleta
2024-01-04,grava,zarandeada,Ladrillera Virú,material_construccion,3.0,84.27,252.81,plin,boleta
2024-01-04,grava,zarandeada,Ladrillera Virú,material_construccion,1.0,68.91,68.91,transferencia,boleta
2024-01-04,disolvente,disolvente 1L,CPP,pinturas,3.0,34.24,102.72,tarjeta,boleta
2024-01-04,caja_herramientas,plastica,Truper,accesorios,1.0,208.88,208.88,yape,factura
2024-01-04,cinta_teflon,blanco,Tigre,gasfiteria,6.0,2.48,14.88,plin,
2024-01-04,tuercas_arandelas,mariposa,Fijesa,fijacion,32.0,1.26,40.32,plin,boleta
2024-01-04,fierro_corrugado,3/4,Aceros Arequipa,material_construccion,17.0,36.1,s/c,efectivo,boleta
2024-01-04,ladrillo,Pandereta,Cerámica Lark,material_construccion,1031.0,2.0,2062.0,plin,factura
2024-01-04,cemento,saco 42.5kg,Pacasmayo,material_construccion,11.0,32.0,352.0,yape,factura
,juego_llaves_dados,10pz,Bahco,herramientas,2.0,167.62,335.24,tarjeta,boleta
2024-01-04,ladrillo,Pandereta,Cerámica Lark,material_construccion,859.0,1.36,1168.24,transferencia,boleta
2024-01-04,cemento,saco 50kg,Cementos Inka,material_construccion,10.0,28.75,287.5,tarjeta,factura
2024-01-04,cemento,saco 42.5kg,Cementos Inka,material_construccion,12.0,39.42,473.04,efectivo,factura
2024-01-04,calamina,galv 0.3mm,Covema,material_construccion,3.0,54.46,163.38,,boleta
2024-01-04,interruptor,simple,Simon,electricidad,2.0,67.39,134.78,plin,boleta
2024-01-04,grifos,lavadero,Vainsa,gasfiteria,1.0,176.84,176.84,efectivo,boleta
2024-01-04,taladro,inalambrico 18V,Makita,herramientas,1.0,874.62,874.62,efectivo,boleta
2024-01-04,fierro_corrugado,5/8,Aceros Arequipa,material_construccion,11.0,30.54,335.94,yape,boleta
2024-01-04,enchufe,doble,BTicino,electricidad,1.0,57.17,57.17,yape,boleta
2024-01-04,rodillo,mediano,Truper,pinturas,3.0,30.02,90.06,efectivo,boleta
2024-01-04,soldador_inverter,200A,Makita,herramientas,2.0,1257.31,2514.62,transferencia,factura
2024-01-05,cemento,saco 42.5kg,Cementos Sol,material_construccion,12.0,45.11,541.32,plin,boleta
